name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url

Продакт-менеджер/Аналитик (Мобильные приложения iOS),з/п не указана,Концепта,Москва,,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа","Привет! У нас открыта новая вакансия в проект, который направлен на разработку собственных мобильных приложений для iOS. Портфель проектов разнообразный – от йоги до фоторедакторов. Сейчас мы ищем в нашу команду продакта-аналитика, который позволит нам вести работу на основе данных.  Прочитай внимательно вакансию и если она тебе подходит будем рады узнать о тебе больше в твоём сопроводительном письме. Для работы тебе обязательно будет необходим iPhone. Что нужно будет делать?   Работать с существующими продуктами компании (мобильные приложения);   Анализировать данные и подготавливать гипотезы для тестирования продуктов;   Тестировать продукты, в т.ч. A/B тестирование иконок, картинок, шрифтов и т.д., замерять эффективность изменений;   Разрабатывать продуктовые метрики для оценки эффективности продукта;   Подготавливать предложения по развитию продуктов;   Стек, который необходимо знать:  1. Иконки и скриншоты в AppStore. Проводить A/B тесты, замерять эффективность изменений. Метрики: CR, TTR Инструменты: AppFollow, SearchAds 2. Онбординг и подписки. Проводить A/B тесты элементов онбординга и экранов подписки, полностью отличных концепций, цен. Метрики: CR(в триал), ARPU, LTV Инструменты: Apphud, Adapty, Qonversion 3. Аналитика продукта. Анализировать использование и эффективность изменений в продукте, путь пользователя. Метрики: CR(в оплату), ARPU, LTV, настроенные события (путь пользователя) Инструменты: Yandex Appmetrika и Amplitude. 4. Атрибуция. Оценка эффективности рекламных каналов. Метрики: CTR, CR, CPI, CPA, CAC, LTV, ARPU Инструменты: Appsflyer, Adjust, FB SDK, AppStore Connect. Опыт работы с системами аналитики мобильных приложений (adjust, amplitude, appsflyer, appmetrika) будет плюсом. Требования:    Опыт работы продакт менеджером, продуктовым аналитиком или продуктовым маркетологом от 1 года.   Английский не ниже B1.   Мы предлагаем:   Полностью удаленную работу и возможность работать из любой точки мира;   График работы с 9:00 до 18:00 по мск;   Стабильный доход.  ",Английский — B1 — Средний Английский язык Работа в команде iOS Разработка нового продукта Amplitude Аналитика A/B тесты Анализ требований Мобильные приложения Анализ поведения пользователей Удаленная работа Appsflyer Разработка продукта Ведение мобильных рекламных кампани,https://hh.ru/vacancy/55217582?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

"Lead Product Manager (Head of Product), Customer Service",з/п не указана,AliExpress Россия,"Москва, Пресненская набережная, 10блокС",https://hh.ru/search/vacancy/map?vacancy_id=55122896&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","We are looking for Lead Product Manager to be responsible for Customer Service stream (including both B2C and B2B platforms). You will work closely with engineering, analytics and UX/UI design teams, as well as business owners. Main scope - Customer Service Platform.  What you will do:  Development of the new Customer Service platform, both for buyers and sellers Determine the product strategy, key milestones and resources needed Manage key product streams Customer interaction channels (Application chat, Messengers, Voice etc) Contact-centre tools (operators' workflow and balancing workload) Robotisation and automation support scenarios and scripts (ML-bases, chat bots etc) Prepare product requirements for software engineering teams Coordinate product launches and control crucial metrics Perform retrospective meetings and support further product development  Candidate profile:   At least 4 year of Product Management experience (preferably in E-Com or Classifieds) Strong analytics skills (ideally to have good SQL knowledge and Power BI / Tableau skills) Excellent project management skills Excellent knowledge of digital and e-comm business metrics Experience in working in agile teams (Business – Product – Engineering) Ability to confront business / tech pressure and find win-win solutions People management experience will be a plus  What we offer:  Work for one of world's biggest IT companies in Russia; Comfortable office in Moscow City with limitless fruits and coffee; Competitive salary with performance-based bonuses; Mac or Windows laptop of your choice; Corporate medical insurance. ",Английский — C1 — Продвинутый Product Manager Product Owner Analytical skills Agile Project Management Digital Marketin,https://hh.ru/vacancy/55122896?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Продакт - менеджер (образовательная платформа),от 120 000 до 140 000 руб. на руки,РостБизнесКонсалт,Казань,,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа","Приглашаем в команду опытного менеджера продукта в сфере digital и IT. Мы лидеры сферы дополнительного профессионального образования (более 19 лет на рынке) Развиваем собственные продающие сайты, а также федеральные порталы по медицине и образованию, разрабатываем внутренние IT-сервисы. Ищем опытного специалиста, способного отвечать за разработку и развитие продвижение онлайн-агрегатора образовательных услуг и платформы онлайн образования. Условия оплаты и формат работы обсуждается индивидуально. Обязанности: Разработка MVP и вывод продукта на рынок; Формирование команды; Координация работы команды по SCRUM, Agile; Утверждение и приемка спринтов; Тестирование; Составление прототипов, ТЗ для программистов, дизайнеров, копирайтеров, контент-менеджеров, контроль выполнения задач; Анализ и доработка UX, функционала, личных кабинетов; Участие в продвижении и вывод продукта на окупаемость и прибыль.  Требования: Опыт работы в должности проект-менеджера или менеджера по продукту не менее 3 лет (не менее 1 года в соответствии с профилем вакансии); Наличие портфолио проектов, наличие примеров ТЗ по разработке/доработке IT-проектов; Опыт работы с сайтами на CMS Bitrix желателен; Опыт в SEO-оптимизации сайтов желателен; Опыт управления командой; Опыт в интернет-маркетинге;  Условия: Сильная команда, интересные задачи, амбициозный проект Успешная компания, более 19 лет на рынке Заработная плата договорная; ",Управление интернет-проектами SEO Agile Project Management Scrum 1С-Битрик,https://hh.ru/vacancy/54781433?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Product manager Origination,з/п не указана,Тинькофф,"Водный стадион, Москва, Головинское шоссе, 5А",https://hh.ru/search/vacancy/map?vacancy_id=55143910&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Наш продукт — платформа для связи с клиентами с помощью различных инструментов: чат на сайте, телефония и обратные звонки, прием сообщений...Ты имеешь опыт управления командой разработки — можешь вместе с командой обсудить сложности, прийти к решению. Jobs to be done. ",,https://hh.ru/vacancy/55143910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Junior Product manager,з/п не указана,ЧАСТНАЯ КОМПАНИЯ ACTIVE SALES TECHNOLOGIES LTD.,Талдыкорган,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Мы предлагаем:  Работу в дружном и развитом коллективе; Комфортный офис; Скидки на посещение фитнес зала и йоги; Корпоративные тимбилдинги .  А также:  Официальное трудоустройство; Тип занятости: полная занятость, полный день; График 5/2 9:00-18:00 / 10:00-19:00.  У нас вы будете заниматься:  Анализ и сверка полученных данных; Отслеживание статистики по проектам; Координация работы со смежными командами и проектами; Разработка различных стратегий по проекту; Тестирование функционала на этапе запуска.  Мы будем рады, если вы:  Имеете аналитические способности; Умеете работать в команде; Уверенно пользуетесь компьютером и таблицами в Excel .  Будет плюсом:  Опыт работы в сфере разработки ПО. ",Аналитическое мышление Анализ данных Статистический анализ Аналитические навыки Умение работать с людьм,https://hh.ru/vacancy/55023473?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Менеджер по продукту,до 200 000 руб. на руки,ООО Центр-К,"Технопарк, Москва, проспект Андропова, 18к7",https://hh.ru/search/vacancy/map?vacancy_id=54665491&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","Кто мы: Компания «Центр-К», занимаемся автоматизацией бизнеса в сфере Retail, Horeca и др. под собственным брендом «POScenter». На протяжении трех лет с нами работают: ""ПОЧТА РФ"", ""Пятерочка"", ""Перекресток"", ""Карусель"", ""Магнит"", ""Верный"", ""Вкус Вилл"", ""SPAR"", ""Мираторг"", ""Бристоль"", ""Билайн"", ""Улыбка Радуги"", ""Мелодия Здоровья"", ""Апрель"", ""ВИТА"", "" FixPrice"" и др. У нас более 400-х сот довольных сотрудничеством партнерских организаций на территории РФ и СНГ.  На наших POS СИСТЕМАХ, МОНОБЛОКАХ, КАССОВЫХ местах уже работает более 50 000 торговых точек. Наших касс ""РИТЕЙЛ-01"" установлено более 180 000 штук в РОССИИ. Мы стабильно растем и развиваемся, в связи с чем ищем активных сотрудников в нашу команду. Чем мы занимаемся: Мы предлагаем оборудование и программное обеспечение, помогающее владельцам бизнеса повысить прибыльность и эффективность и сделать довольными своих конечных покупателей. Мы делаем торговлю в России технологичнее интегрируя мировые тренды. Наши преимущества:  Большая линейка интересных, технических продуктов; Все отношения официальные, прозрачные, с расчетом на долгосрочное сотрудничество; Позиция Менеджера по продукту, как и любая другая позиция в нашей компании, предполагает достойный уровень дохода и перспективы личностного и карьерного роста; У нас широкий спектр интересных и амбициозных задач, через которые можно расти как профессионально, так и материально.  Основные задачи: Предстоит создавать лучший продуктовый портфель решений на рынке автоматизации торговли. Вооружить продажников нашей компании патронами (решениями). Продвигать, развивать, поддерживать жизненный цикл технологичных, высокомаржинальных и востребованных продуктов и сервисов. Создавать новые рынки технологий для автоматизации бизнеса в торговле и не только, предлагая их от нашей компании. Что мы ждём от Вас:  Успешный опыт развития и продвижения технических продуктов. Уверенное владение английским языком. Умение организовывать и систематизировать свою работу. Стратегическое мышление. Ориентация на результат. Коммуникабельность. Умение и желание работать в команде. Умение договариваться. Способность аргументировать свои предложения. Умение работать с большим объемом информации. Опыт работы на аналогичной позиции в похожих компания приветствуется.    Что мы готовы предложить:  Достойный уровень оплаты труда (обсуждается на собеседовании). Пятидневная рабочая неделя в режиме с 09 00 до 18 00. Большое количество мероприятий регионального и федерального значения. Оформление в соответствии с ТК РФ. Комфортный офис в 2 минутах от метро Технопарк Дружную команду профессионалов.  Если ты готов к вызовам и не боишься трудностей, то не упусти свой шанс стать частью нашей команды. Сбор резюме соискателей закончится 01.05.2022 г.    ",B2B маркетинг Разработка нового продукта Вывод продукта на рынок оборудование Продвижение бренда Планирование маркетинговых кампаний Маркетинговые коммуникации Маркетинговое планирование Маркетинговый анализ Проведение презентаций Грамотная реч,https://hh.ru/vacancy/54665491?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Product manager,от 170 000 до 300 000 руб. на руки,YEZ.RU,Москва,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Product manager We are looking for a motivated person to join our team as a Product manager. YEZ is a startup, one-of-a-kind digital product that helps car owners solve day-to-day tasks with their cars. YEZ unites independent auto service centers, car dealers, spare part suppliers and more — in one auto service marketplace with quality control and security of transactions. The seamless technology empowers our clients to book their visits to car centers instantly, knowing precise price for any service, and with a guarantee. YEZ has partnered with VW, BMW, Kia, ROLF, Major, Mobil, Shell, Motul, Castrol and works with National Technology Initiative (NTI) to ensure best-in-class service and safety standards are provided. What you will do  Generate new ideas around and beyond the core product Organize and execute customer development: from market validation to interview execution, unit economic calculation, and MVP launch Develop structured knowledge before product technical development and launch: build CJMs, formulate Job stories, develop User story maps and Transition maps Do all necessary project management work Pitch your ideas and communicate tightly with design, development, servicing, and marketing teams  We expect from you  At least 1-2 years on the similar position, preferably in a startup Strong practical and theoretical understanding of product management frameworks Ability to prototype in Figma or Sketch Understanding of Scrum and Kanban frameworks Understanding of lean startup approach Basic understanding how web- and mobile development are done Good command of PPT and presentations  Why you will like it here  United team of achievers: we have international experience in PayPal, Discovery Networks, The Boston Consulting Group, Beeline, ROLF, etc. We’ve worked in China, Singapore, Western Europe, Baltics, and CIS countries Lean approach, zero hierarchy, fast decision-making process: suggest what and how to do – and do it! Decent compensation – always matches the level of our team member Have a car? Now you are with us! Maintenance and repairs with max discounts for you and your loved ones You can work from our office on ArtPlay – we like it here plus BHSAD is right around the corner Join us in auto racing, go karting, skiing, wake surfing and other stuff we do   ",Английский — C1 — Продвинутый Управление продуктом Английский язык Бизнес-анализ Product Development E-Commerce Мобильность Product Management Запуск новых продукто,https://hh.ru/vacancy/51361146?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Product manager,з/п не указана,LC Group,"Октябрьская, Новосибирск, улица Кирова, 48",https://hh.ru/search/vacancy/map?vacancy_id=54807397&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Lime Credit Group – международная IT-компания из Сибири. Мы развиваем ряд сервисов в области автоматизации сегмента онлайн-кредитования в России, ЮАР и Мексике. Мы активно растём и продолжим это делать – с начала года мы выросли уже в 1.5 раза и до конца года планируем вырасти ещё в 1.5 раза! Поддержание таких темпов требует от нас высокого качества в принятии решений – мы всегда используем data-driven подход. Наша цель – создать прозрачный клиентоориентированный сервис, где пользователь будет уверен, что получит лучшие условия и продукт без комиссий и навязанных услуг. Это сложная задача и она требует проведения множества экспериментов, количественных и качественных исследований. В связи с этим, мы в поисках продуктовых менеджеров с хорошими аналитическими способностями. У нас очень много данных, они удобны для работы и в них нужно искать инсайты, чтобы строить качественный продукт. Вам предстоит работать в очень дружной и веселой команде – в течение 15 минут можно услышать серию взаимных подколов, статистическое и финансовое обоснование требований по новой фиче, а затем диалог о мемах. Из-за быстрого роста компании и появления новых зон ответственности, можно быстро расти. И опыт каждого в команде это только подтверждает. Мы работаем по Kanban и сейчас находимся на пути к полноценному переходу к работе в продуктовых командах. Решение по команде будет приниматься от твоих желаний и навыков. И напоследок, если половина слов в описании будет загадкой – не страшно, важнее горящие глаза от работы с данными, желание учиться и копаться в сложных вещах с высокой стоимостью ошибки. Обязанности:  Проверка гипотез на ретро-данных; Разработка внутренних сервисов – от осознания и оценки проблемы, до разработки логики работы, сопровождения разработки и пост-релизной аналитики; Проведение A/B тестов от выдвижения гипотезы до финальных выводов; Постоянный анализ пользовательского поведения с целью поиска «точек роста» и «узких мест» в продукте; Создание интерфейсов под ваши решения. Рисовать не нужно, для этого есть достаточно большой отдел дизайна;  Примеры задач:  анализ распределения платежей по дням и поиск оптимальной стратегии уведомлений; расчет финансового результата от добавления/отказа от одного из полей в анкете клиента; создание и внедрение алгоритма распределения портфеля задолженности в зависимости от характеристик клиента; разработка стратегии ценообразования с возможностью автоматической перестройки в зависимости от оперативной цели компании; разработка программы лояльности - от концепции и коридорок до релиза и дальнейших итеративных улучшений.  Для успеха вам потребуются:  навыки работы в Excel/Python/R – выбирайте более удобный для вас инструмент, главное, чтобы задача была решена. Знание SQL и опыт работы с Power BI помогут в решении задач; опыт работы с количественными данными и понимание базовых принципов анализа данных; базовые знания теории вероятности и мат статистики – учебник Черновой наизусть знать необязательно, но понятия по типу «статистическая мощность», «доверительный интервал» и показатели R2, корреляция и т.д., должны быть знакомы; понимание базовых терминов работы с продуктом – unit-экономика, CJM, воронки и т.д.; структурное мышление; умение и желание быстро усваивать большие объёмы новой информации; умение строить коммуникации и рабочие процессы.  Мы гарантируем:   соблюдение всех обязательств по ТК РФ. «Белая» заработная плата;   ДМС для всех сотрудников (амбулаторное лечение + стоматология);   команду профессионалов, развитую систему наставничества, работу в условиях взаимопомощи между коллегам;   еда в офисе: мы регулярно закупаем продукты для здорового перекуса, фрукты и сладости. Про чай и кофе-машину даже говорить не будем :);   регулярные ревью, ретроспективы на проектах, индивидуальный подход к твоему развитию;   возможность проявлять инициативу и стать реальным двигателем изменений в компании – мы всегда готовы обсуждать и реализовывать лучшие идеи;   насыщенная корпоративная жизнь и развитая инженерная культура: посещение конференций, регулярная организация внутренних мероприятий для обмена опытом и дискуссий, неформальные корпоративные мероприятия;   возможность учить английский язык и заниматься спортом с корпоративными скидками;   гибкий график и отсутствие дресс-кода;   комфортный офис в 2 минутах ходьбы от м. Октябрьская.   Мы ищем человека, стремящегося расти и развиваться в крепкой команде профессионалов.",Python Статистический анализ Английский язык Аналитическое мышление SQ,https://hh.ru/vacancy/54807397?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Product Manager/Senior Producer,з/п не указана,Beresnev Games,"Прага, Na Prikope",https://hh.ru/search/vacancy/map?vacancy_id=54798999&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Beresnev Games в поиске опытного менеджера продукта, который усилит нашу команду и внесет свой вклад в достижение амбициозных целей. Для нас эта позиция является одной из ключевых. Помимо работы над продуктом, предстоит принять участие в выстраивании и поддержании процессов стратегического развития продуктов и компании. Чем предстоит заниматься:  Отвечать за рост продукта в оперировании, достигать поставленных целей; Разрабатывать план действий и обосновывать его другим членам команды и менеджменту компании; Улучшать игровые механики и искать новые; Координировать и привлекать другие подразделения в рамках реализации поставленной цели (аналитика, маркетинг, креативы, саппорт и так далее); Изучать рынок; Помогать команде проекта достигать лучших результатов.  Чего мы ожидаем:  Опыт работы на релевантной позиции или опыт работы гейм дизайнером, продуктовым аналитиком в играх; Участие в успешных проектах, дошедших до релиза (обязательны ссылки на проекты); Понимание рынка казуальных мобильных игр; Умение ясно и однозначно излагать мысли устно и письменно. Правильно составлять ТЗ и уметь доносить информацию до команды; Опыт работы с игровой документацией; Аналитический склад ума, владение аналитическими инструментами, критическое мышление, умение строить выводы на основе аналитических данных; Умение брать ответственность и достигать результата; Хороший технический и бизнес кругозор; Целеустремленность, упорство и решительность.  Условия:  Конкурентная заработная плата; Возможность профессионального роста, корпоративного обучения; Теплая рабочая атмосфера и дружный русскоговорящий коллектив; Оплачиваемый отпуск и больничные после испытательного периода; ",Аналитическое мышление Стратегическое мышление MS PowerPoint Ориентация на результат Тайм-менеджмен,https://hh.ru/vacancy/54798999?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Менеджер по продукту,з/п не указана,"Лента, федеральная розничная сеть, Офис","Беговая, Санкт-Петербург, улица Савушкина, 112",https://hh.ru/search/vacancy/map?vacancy_id=52265168&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Систематизация и анализ информации в рамках товарной категорий. Участие в планировании реализации готовой продукции. Управление ассортиментным портфелем (P&L), оптимизация...Опыт работы от 3-х лет в области маркетинга в FMCG-компаниях (массовые потребительские товары повседневного спроса), опыт продакт-менеджмента...",Английский — B2 — Средне-продвинуты,https://hh.ru/vacancy/52265168?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Product manager,от 200 000 KZT на руки,ТОО TeleNova LLP,"Райымбек батыра, Алматы, проспект Назарбаева, 2",https://hh.ru/search/vacancy/map?vacancy_id=55212140&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","ТОО ""TeleNova LLP""- крупная торговая компания, являющаяся одним из лидеров в области продаж бытовой техники и электроники в Казахстане. Введём набор высококвалифицированных специалистов для роста и развития мощной команды и компании в целом!!! Отправляйте своё резюме будем рады рассмотреть вашу кандидатуру!!!  Обязанности:   Поиск новых каналов закупа товаров;   Определение коммерческих условий сотрудничества с поставщиками: цены, поставки, бонусы, акции, условия отсрочки;   Заключение договоров с поставщиками;   Налаживание эффективных отношений с поставщиками;   Разработка различных вариантов и договорных условий сотрудничества с поставщиками (от товара на реализацию до дистрибуции);   Определение стратегии ценообразования;   Мониторинг конкурентов и выработка конкурентной стратегии ассортимента и ценообразования;   Управление товарным запасом Компании;   Развитие новых брендов и товаров;   Запуск интересных активностей;   Контроль цен на торговых площадках;   Оценка и анализ рынка.   Требования:   Имеете успешный опыт в закупках и можете найти самые выгодные цены;   Отличаетесь аналитическими способностями;   Виртуозно владеете пакетом MS Office, XML;   Умеете работать в 1С;   Обладаете даром убеждения и умеете вести переговоры;   Можете самостоятельно вести работу, планировать действия, управлять своим временем и ценить время других;   Умеете правильно рассчитать и контролировать маржу.   ТОГДА МЫ ЖДЁМ ВАС! Условия:  Дружный коллектив; График работы 6/1, с 9:00 до 19:00; Карьерный рост. ",Работа в команде Современная розница Лидерство Электроника Быстрый набор текста Пользователь ПК Поиск информации в интернет Грамотная речь Ведение переговоров Деловое общение Маржинальный анализ Аналитическое мышление Умение планировать Конкурентная аналитика Организаторские навыки Управление продажами Работа с большим объемом информации Деловая переписка Управление персоналом Заключение договоро,https://hh.ru/vacancy/55212140?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Менеджер по продукту / Product manager,з/п не указана,ООО 7 Утра,Воронеж,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","«7 утра» присутствует на рынке с 1996 г. (ВоронежРосАгро). Сегодня это 2 современных завода по производству молочно-жировой продукции с общей численностью персонала более 1100 человек. Продукция Компании представлена более чем в 47 регионах РФ и странах СНГ. ООО «7 утра» занимает первое место среди производителей категории МРС на территории РФ и входит в ТОП-3 производителей по общему объему в масложировой категории (масло, мрс, спред) и по продукту со сметаной. Чем будете заниматься:  Разрабатывать стратегию продвижения вверенных брендов на рынок Осуществлять анализ рынка, определять целевые потребительские сегменты рынка для продвижения Анализировать требования потребителей на основе результатов маркетинговых исследований. Наблюдать за положением продукта на рынке (ход продаж продукта, спрос на него), определять и анализировать отношения потребителей к продукту, лояльность брендам Выявлять неудовлетворительные параметры продукта, требования покупателей к продукту (не учтенных в продукте) и информировать о них ответственных подразделений для корректировки продукта, придания ему новых потребительских свойств Организовывать проведение презентаций продукта потенциальным покупателям и потребителям, тематических семинаров (консультирование о потребительских свойствах и качествах продукта). Разрабатывать ценовую политику, определять условия продаж (системы скидок и льгот отдельным группам покупателей) Прогнозировать объемы продаж, разрабатывать схемы сбыта продукта (от создания новых сбытовых подразделений до реконструкции имеющихся каналов сбыта). Формировать бюджет по продукту, рассчитывать прибыль и рентабельность, определять возможные убытки, риски и разрабатывать предложения по их минимизации. Организовывать договорную работу, учет платежных операций, анализ оперативных данных об итогах продаж. Координировать мерчендайзинг Отслеживать ценовую политику и спрос на бренды конкурентов, определять позиции продукта относительно аналогичных или схожих продуктов конкурентов  Что для нас важно в кандидате:  Высшее образование (маркетинг, экономика). Подтвержденный успешный опыт разработки и вывода новых продуктов на рынок (продукты питания) Практическое владение основным инструментарием маркетинга Развитые аналитические компетенции Свободное владение Excel и PP, 1С  Мы предлагаем:   Работу в крупной производственной Компании лидере продуктового сегмента на FMCG рынке (штат сотрудников 1100 человек). Высокую заработную плату и её своевременную выплату (оклад + бонус по кpi) Оформление согласно ТК РФ (оплачиваемые б/л, отпуск), оплата командировочных, компенсация мобильной связи (в зависимости от подразделения) Дружный коллектив, сильная корпоративная культура, фонд «Взаимопомощи» Наставничество со стороны опытных коллег, которые уже добились успеха Широкие возможности для карьерного и профессионального роста Возможность карьерного развития Внешнее и внутреннее обучение Интересные, амбициозные задачи. ",,https://hh.ru/vacancy/53324651?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Product marketing manager (Умный дом),з/п не указана,ООО Эр-1,Новосибирск,,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа","R1 - это продуктовая компания, часть федерального IT-холдинга «Эр-Телеком» с 20-летней историей.В R1 мы создаем сервисы и цифровые продукты для людей, которые помогают развлекаться, учиться, общаться, управлять пространством дома и вокруг дома при помощи технологий.Продукты компании:  Edutainment: smart-приставка Movix (как агрегатор ТВ-каналов, онлайн кинотеатров и всех форматов видео-развлечений) образовательные, семейные и игровые продукты на приставке и в OTT-формате) Умный дом: видеонаблюдение, домофоны, системы управления умными устройствами Property tech: комплексные B2B-решения для девелоперов и управляющих компаний  Продукты продаются под брендом Дом.ру и через другие каналы. Все категории продуктов управляются через мобильные приложения и позволяют удобно решать максимум вопросов дома для всей семьи.В R1 мы:  Верим, что интересные, полезные цифровые сервисы для дома сделают жизнь людей проще, удобнее интереснее; Стремимся сделать использование сложных технологий простым и понятным и через технологии влиять на качество жизни в российских домах; Стартап, несмотря на то, что история бизнеса нашей родительской компании, “Эр-Телеком” насчитывает 20+ лет; Сформировали команду опытных управленцев, за спиной которых создание известных продуктов, таких, как ОККО, Сравни.ру, Skyeng, Gett, Yandex, Sbermarket и др; Имеем собственную IT платформу и внутреннюю команду разработки; Формируем продуктовую культуру, основанную на ответственности, открытости, скорости принятия решений и свободе; Умеем эффективно работать в геораспределенных командах, но если нужно встретиться, то у нас есть центры разработки в 4-х городах России (Москва, Санкт-Петербург, Пермь, Новосибирск)  В R1 сейчас открыта позиция Product Marketing Manager в команде Умного Дома и Property tech На данной позиции мы видим человека с опытом самостоятельного ведения проектов, с амбициями делать инновационные продукты для улучшения жизни людей  Что предстоит делать:   Участвовать в разработке и реализации программ вывода на рынок новых продуктов и сервисов, определять стратегию продукта и конечный результат работы над ним Анализировать ЦА и формулировать уникальное ценностное предложение для различных сегментов Анализировать рынок для выявления основных трендов, мониторинга конкурентов Управлять маркетинговым бюджетом продукта Участвовать в разработке маркетинговой и коммуникационной стратегий продуктов Координировать работы с целью лидогенерации: закупка трафика, SMM, CRM, контент, партнерства Участвовать в поиске оптимальных каналов дистрибуции с фокусом на привлечения новых пользователей Участвовать в исследовании и создании CJM по продукту (от MVP до полноценных продуктовых и сервисных решении?) Участвовать в проведении и организации UX-исследований, проводить мониторинг обратной? связи от клиентов (все возможные каналы и источники) Формировать стратегию с текущей базой и ее реализацию в связке с группой контента, директ-коммуникаций Формулировать ключевые показатели и метрики продукта, отслеживать их и предлагать методы улучшения Определять и ставить цели, отслеживать их выполнения (контроль основных этапов работы) в связке с продуктовой командой, группами контента, digital-маркетинга, разработки Взаимодействовать с командой разработки, определять совместно с командой подходящие тех решения для посадочных страниц, приложений и внутрипродуктовых решений Управлять и приоритезировать бэклог маркетинговых и продуктовых задач (вместе с продуктовой командой) Выдвигать и тестировать гипотезы по увеличению конверсий на всех этапах воронки, проводить эксперименты Ставить задачи маркетинговым командам на продвижение продуктов во всех каналах Инициировать создание необходимого контента для реализации конкретных активностей маркетингового продвижения и анализировать его эффективность Формировать и поддерживать актуальность информации по продукции в различных информационных системах компании  Мы ждем вас, если вы:  Имеете опыт продуктового маркетинга от 2-х лет Обладаете опытом работы с матричными командами в рамках многофункциональных проектов Обладаете опытом долгосрочного планирования развития проекта/продукта, оценки ресурсов Обладаете навыком анализа рыночной ситуации, и проведения маркетинговых исследований; навыком анализа структуры спроса на продукцию и определения перспективных ниш Умеете работать с гипотезами: создавать, тестировать, масштабировать; У вас хорошие аналитические навыки и способность прорабатывать стратегию/позиционирование продукта, бизнес-планы, клиентов и понимание рынка, анализировать эффективность кампаний и отдачу от инвестиций Умеете разговаривать с дизаи?нерами, аналитиками и IT-специалистами на одном языке Умеете прогнозировать, создавать CJM, управлять бэклогом Знаете принципы создания и управления Digital-продуктами Владеете аналитическими инструментами Digital-платформ Умеете организовывать/проводить глубинные интервью с клиентами  Будет плюсом:   умеете писать понятные и точные технические задания и брифы знаете как получать ответы, драйвите результаты обладаете повышенным вниманием к деталям и берете на себя ответственность за результат  Предлагаем:   Возможность присоединиться к профессиональной, высокомотивированной и результативной команде из 200+ сотрудников R1, перспективы карьерного роста;   Рыночная заработная плата по результатам собеседования;   Полное оформление по ТК РФ, полностью белая з/п;   Удаленка, гибрид или работа в офисе - на ваш выбор.  ",,https://hh.ru/vacancy/54901513?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager
